Time Index,Year,Month,Counts
1054,2009,10,187372
1055,2009,11,219939
1056,2009,12,341337
1057,2010,1,256652
1058,2010,2,267855
1059,2010,3,243263
1060,2010,4,187962
1061,2010,5,141336
1062,2010,6,145825
1063,2010,7,182904
1064,2010,8,168081
1065,2010,9,174157
1066,2010,10,184898
1067,2010,11,226455
1068,2010,12,345656
1069,2011,1,265553
1070,2011,2,268259
1071,2011,3,215553
1072,2011,4,197777
1073,2011,5,140741
1074,2011,6,131269
1075,2011,7,176084
1076,2011,8,175909
1077,2011,9,219940
1078,2011,10,215902
1079,2011,11,230292
1080,2011,12,364165
1081,2012,1,266839
1082,2012,2,259083
1083,2012,3,239929
1084,2012,4,195668
1085,2012,5,140841
1086,2012,6,151074
1087,2012,7,173539
1088,2012,8,178298
1089,2012,9,179069
1090,2012,10,184200
1091,2012,11,232119
1092,2012,12,363959
1093,2013,1,260637
1094,2013,2,281233
1095,2013,3,270740
1096,2013,4,200583
1097,2013,5,153034
1098,2013,6,159485
1099,2013,7,183718
1100,2013,8,189284
1101,2013,9,191056
1102,2013,10,194973
1103,2013,11,251060
1104,2013,12,381892
1105,2014,1,292446
1106,2014,2,301165
1107,2014,3,253561
1108,2014,4,224194
1109,2014,5,161355
1110,2014,6,162122
1111,2014,7,196856
1112,2014,8,188849
1113,2014,9,193329
1114,2014,10,210597
1115,2014,11,270408
1116,2014,12,402518
1117,2015,1,302432
1118,2015,2,343457
1119,2015,3,291784
1120,2015,4,237966
1121,2015,5,176697
1122,2015,6,176961
1123,2015,7,207984
1124,2015,8,202879
1125,2015,9,216984
1126,2015,10,229379
1127,2015,11,300521
1128,2015,12,444883
